"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000213225.7",152.095994878161,-3.56936609016001,0.561022582246834,-6.36225029635186,1.98819099447423e-10,6.5517306787263e-08
"ENSG00000066248.15",933.734979045851,4.22565796308146,0.667642865811577,6.32921907724546,2.46405057233199e-10,7.99095511798649e-08
"ENSG00000156966.7",765.756848999497,2.54850454875298,0.403073639731102,6.32267729155679,2.57069808292667e-10,8.20655195816794e-08
"ENSG00000062038.14",2951.43264659998,3.33010099565038,0.52714835075253,6.31719892682296,2.66346648363696e-10,8.24504298896768e-08
"ENSG00000064651.14",2520.90113482821,1.16395497977029,0.184247757792054,6.31733592700735,2.66110721250509e-10,8.24504298896768e-08
"ENSG00000177363.5",96.9485343740251,-3.88946497265033,0.615930120768886,-6.31478286497011,2.70541056852922e-10,8.24988706352544e-08
"ENSG00000141736.14",16254.7789118859,0.856237076898437,0.135831176208369,6.30368594898234,2.90649130666633e-10,8.73272410095585e-08
"ENSG00000170214.5",193.698327451191,2.58358635513273,0.412778834985537,6.25900878668659,3.87432045633286e-10,1.14719190207734e-07
"ENSG00000100373.10",133.624315859122,-4.25119103682547,0.680057404296582,-6.25122380841172,4.07248781521788e-10,1.18864283646738e-07
"ENSG00000168487.20",3318.05437435288,1.27801375927874,0.204650674511974,6.24485485975744,4.24193825874692e-10,1.19010017663672e-07
"ENSG00000168754.15",65.7398021715565,3.94851298835687,0.631964031578928,6.24800272017337,4.15734437660693e-10,1.19010017663672e-07
"ENSG00000234805.1",19.5031978576685,3.90189559852618,0.624855560638596,6.24447607466033,4.25223008636291e-10,1.19010017663672e-07
"ENSG00000196616.14",788.105166447445,-4.87588766491648,0.781115059444232,-6.24221439077836,4.31419060839853e-10,1.1911247070296e-07
"ENSG00000187730.9",279.975974857435,3.07655733341721,0.494007864921913,6.22774970172492,4.73182217402792e-10,1.27205077417848e-07
"ENSG00000276715.4",48.1823101510646,2.93384939136257,0.471058838867191,6.22820155209894,4.71819841154904e-10,1.27205077417848e-07
"ENSG00000188859.7",84.3089628931295,-1.08089720642102,0.17377284509338,-6.2201732718376,4.96606156672359e-10,1.31768316713935e-07
"ENSG00000136155.17",2108.17795649985,3.79729675847764,0.611397905622744,6.21084358247822,5.27009123023525e-10,1.38042607596072e-07
"ENSG00000072682.19",3390.03822341581,1.85924246251203,0.300114593724839,6.1951084731877,5.82449034144589e-10,1.50633116665925e-07
"ENSG00000244694.7",657.518716543379,3.27138756686728,0.528332751903701,6.19190757165771,5.9440406425601e-10,1.51803367960182e-07
"ENSG00000259803.7",1152.32906453557,5.62242939704014,0.909047393490756,6.18496839361689,6.21149138344151e-10,1.56675284512461e-07
"ENSG00000162981.14",1123.50394833807,2.5840489178131,0.418485820571494,6.17475859584506,6.62646399474556e-10,1.65104007166642e-07
"ENSG00000109205.16",106.028922299713,-3.76976860245293,0.612441690001721,-6.15531023441977,7.49306692263409e-10,1.78012616623648e-07
"ENSG00000123700.5",799.165289592777,3.13790824494773,0.509577447766637,6.15786326239607,7.37329737012962e-10,1.78012616623648e-07
"ENSG00000147883.12",371.236355393582,2.95022370183328,0.479228708519971,6.15619149976349,7.45151142240854e-10,1.78012616623648e-07
"ENSG00000189058.9",2867.14936164386,-3.77361463452819,0.612701803494437,-6.15897425632835,7.32176265206594e-10,1.78012616623648e-07
"ENSG00000164764.11",204.004259022891,-2.52997662008816,0.411429082749159,-6.14924108714659,7.7854562840605e-10,1.82832939470851e-07
"ENSG00000250343.1",59.4411200244041,3.19285687756213,0.520346658010659,6.13601880286645,8.46151465776828e-10,1.96451370423709e-07
"ENSG00000110092.4",14136.6875186167,1.46045759579855,0.238089852803411,6.13406064392184,8.56638386674619e-10,1.96651448069091e-07
"ENSG00000196666.6",118.34532598272,-4.68426128590873,0.765657381425874,-6.11796006875201,9.47808081387483e-10,2.15103268936449e-07
"ENSG00000248144.6",22.7846160440688,-3.47159264339381,0.56760216647879,-6.11624276371315,9.58073392061908e-10,2.15103268936449e-07
"ENSG00000108846.16",4030.831649758,2.83147589537624,0.463960871984079,6.10283337745216,1.0420445885724e-09,2.31413184664377e-07
"ENSG00000105717.14",681.153609758167,-2.31642924235307,0.380148885286444,-6.09347898155121,1.10482847210126e-09,2.42717747456997e-07
"ENSG00000048540.15",13643.0505220451,1.58326782350894,0.259960596953494,6.09041463230745,1.1261862481791e-09,2.44777779112203e-07
"ENSG00000281852.1",34.8285962819289,2.98653833574186,0.491133000985211,6.08091561705459,1.19498173130181e-09,2.56996544760286e-07
"ENSG00000228526.7",274.931641511191,1.75449253460687,0.289160961523549,6.0675290515106,1.29893127680677e-09,2.76442342879574e-07
"ENSG00000104723.21",1763.12365764769,2.83070358984432,0.467113472715111,6.05999131943417,1.36128894931387e-09,2.80934288115471e-07
"ENSG00000118971.9",13588.4737420901,1.32762963717454,0.218978241067404,6.06283816466442,1.33740220532219e-09,2.80934288115471e-07
